,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
245,wayne arthurs,L,190.0,35.0,17.0,0.3000640454982543,0.10791393480469114,0.23702226345083485,0.5026790716286514,0.8886985400220695,0.5533524380366645,86.25714285714285,0.7017576277053315,97.0,430.0,191.8,0.653,0.263,0.583,0.419
246,paul goldstein,R,178.0,23.0,12.0,0.39989888731696405,0.2896135265700483,0.44363076536989576,0.5120945479641132,0.7331880076445294,0.5923209115178546,124.91304347826087,0.594896986759748,67.0,564.0,,,,,
247,ivan ljubicic,R,193.0,72.0,49.0,0.35232103514383045,0.20896669574978394,0.40172886527053187,0.6486734715901382,0.8787606785462171,0.6191229324034464,44.25,0.6869338345135911,9.0,2180.0,227.5,0.716,0.38,0.615,0.564
248,peter wessels,R,196.0,19.0,7.0,0.31892465908918805,0.15189043412727624,0.27224150118886964,0.5425599254546624,0.7796146989360285,0.652686520972819,53.73684210526316,0.64550094353519,144.0,288.0,,,,,
249,roger federer,R,185.0,84.0,80.0,0.4278479295754823,0.33863622986088754,0.4860468070289497,0.5704150677364962,0.9061774486060413,0.63260033444113,48.226190476190474,0.7067071229802568,1.0,6725.0,263.2,0.639,0.442,0.833,0.718
250,antony dupuis,R,185.0,11.0,2.0,0.32204338559526297,0.15041322314049588,0.27639027639027636,0.6047830956921867,0.7841664264589167,0.5718731081634076,37.36363636363637,0.6171718791627939,150.0,277.0,,,,,
251,max mirnyi,R,196.0,55.0,31.0,0.34808300684849913,0.1860207015689217,0.3231516463334646,0.5200778544094052,0.8590865603176694,0.636939874105962,69.41818181818182,0.6879440749622302,34.0,905.0,197.0,0.6409999999999999,0.34600000000000003,0.316,0.667
252,george bastl,R,183.0,6.0,2.0,0.37022425989931235,0.2628156565656566,0.5159722222222223,0.5507756132756132,0.5617424242424243,0.5856620346990853,41.0,0.555446668762883,128.0,341.0,,,,,
255,christophe rochus,R,170.0,44.0,18.0,0.39430201980928037,0.29431064184353656,0.46677293665930025,0.4846418732782368,0.6559180585496375,0.5939288939560622,96.45454545454545,0.575524982163538,41.0,795.0,165.9,0.5329999999999999,0.46399999999999997,0.462,0.2
258,paradorn srichaphan,R,185.0,59.0,30.0,0.36788362429169397,0.21922218058480328,0.4180981453755236,0.5571317100978117,0.7712003627257865,0.5871030895034471,76.37288135593221,0.6258994531021695,42.0,785.0,185.7,0.573,0.38,0.368,0.536
260,jiri vanek,R,185.0,24.0,6.0,0.33352368067625804,0.15046118097588687,0.3304270382395382,0.5861238298738299,0.7010793332484507,0.6022186140269904,60.791666666666664,0.5814304531780911,99.0,424.0,,,,,
