,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points
47,olivier delaitre,R,170.0,12.0,2.0,0.3400067119775974,0.13849807599807604,0.280370082815735,0.5117107673028726,0.6655393217893217,0.5698572955122105,46.0,0.5712573744506508,143.0,321.0
50,malivai washington,R,180.0,9.0,4.0,0.34728319697415233,0.21601330767997431,0.5378306878306878,0.6599245253657018,0.751722968389635,0.609522202298839,139.88888888888889,0.6187667106476427,258.0,154.0
52,marcelo filippini,R,178.0,47.0,26.0,0.41550951609525005,0.2995642655217123,0.3790745135789928,0.6047114528497509,0.7513959211747567,0.6844297197821564,74.82978723404256,0.610920400963641,44.0,886.0
53,andrei chesnokov,R,188.0,6.0,2.0,0.37851560511945587,0.2510938135938136,0.6316849816849817,0.6199314574314574,0.6391508954008954,0.5632259417722478,90.0,0.548066673909728,209.0,201.0
58,brett steven,R,185.0,29.0,16.0,0.39206457008861273,0.28574961921597425,0.4111770413494552,0.6017195279365665,0.8169592192356546,0.6392008781430141,111.13793103448276,0.6506758684295542,50.0,817.0
60,michael chang,R,175.0,72.0,53.0,0.4253552135255647,0.3407910943190759,0.45185357247777325,0.5728015471275276,0.7997721205026053,0.5140816834984779,63.05555555555556,0.6363210508456238,3.0,3189.0
63,jim grabb,R,193.0,5.0,1.0,0.3327211490744295,0.1070707070707071,0.5333333333333333,0.4154545454545454,0.61,0.6080253174066562,57.2,0.5349377171047218,342.0,100.0
64,luis herrera,L,170.0,6.0,2.0,0.3722034667755589,0.16622674710910004,0.2735042735042735,0.6068121693121694,0.7366946778711485,0.6503667875825194,52.166666666666664,0.5959178544855653,184.0,245.0
65,francisco roig,R,175.0,6.0,1.0,0.3612927463825139,0.17880892255892256,0.3194444444444445,0.6071937321937322,0.6553240740740741,0.5265777056233371,51.833333333333336,0.5632248880462679,153.0,299.0
66,pete sampras,R,185.0,58.0,47.0,0.4085295436634956,0.30328063464866634,0.4975204674748285,0.5726700502562572,0.908016676405974,0.6296451283963,60.206896551724135,0.7180051574205253,1.0,4547.0
67,andrei medvedev,R,193.0,51.0,29.0,0.40596329130019454,0.2881753315275958,0.4443641812836859,0.5739752679381163,0.7683472943602165,0.5716653837639345,80.98039215686275,0.6252087992967325,27.0,1314.0
70,arnaud boetsch,R,183.0,34.0,13.0,0.39431040082082275,0.24859909170030275,0.372093837535014,0.5845877162053634,0.6963802129243306,0.5714240893512835,67.41176470588235,0.5763755631722309,106.0,459.0
72,carlos costa,R,183.0,42.0,20.0,0.40320341308662605,0.2928154847797706,0.48017002838431416,0.47674660773400274,0.6705925688068545,0.5765914316876161,116.23809523809524,0.5782123086909102,56.0,739.0
73,omar camporese,R,188.0,7.0,0.0,0.2841748973522372,0.05533395176252319,0.25595238095238093,0.511595547309833,0.6575091575091575,0.4874981484871359,34.57142857142857,0.5768164387059873,336.0,103.0
74,wayne ferreira,R,185.0,45.0,25.0,0.37899700830642397,0.2502959695165915,0.41263033263033255,0.5349354639550719,0.7617396114037206,0.5231879732551421,96.55555555555556,0.6230574687497444,42.0,910.0
