,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
370,florent serra,R,180.0,,49.0,23.0,0.37979631225796623,0.25058739946194936,0.4532683179976881,0.5391280354965828,0.7248987473777391,0.590823736389556,56.89795918367347,0.5961923798808929,191.0,59.1%,43.4%,47.6%,40.9%
371,daniele bracciali,R,180.0,,41.0,17.0,0.3307671817562866,0.1643396365730806,0.3604863970717629,0.6547167602045653,0.8038485804805747,0.5181979086569019,76.5609756097561,0.636196871762149,184.6,64.4%,36.1%,42.9%,41.2%
372,andy murray,R,190.0,,62.0,37.0,0.43121105667273846,0.3430886805056634,0.42982849561359987,0.5536571004575913,0.7245033877842479,0.5358189471281904,69.2741935483871,0.6012997364155985,197.0,56.8%,42.2%,54.5%,43.5%
373,bjorn phau,R,175.0,,42.0,16.0,0.3611602975191349,0.20177081516367226,0.38082991743706035,0.5177151668748309,0.7072635367278225,0.5191712784125153,104.69047619047619,0.5963460910558308,183.9,56.7%,37.2%,40.0%,50.0%
374,jimmy wang,R,178.0,,20.0,6.0,0.3858167255355697,0.25725711788211786,0.3797538409303115,0.6100038156288154,0.6242992383433561,0.572823192223566,71.55,0.5533745647059057,,,,,
375,novak djokovic,R,188.0,,52.0,35.0,0.39972677213114305,0.29698620258575015,0.4839324137401059,0.5744020458848393,0.8076451659200526,0.6296669772354526,105.34615384615384,0.6507815385279093,245.8,63.0%,45.3%,62.5%,75.0%
376,santiago ventura,R,183.0,,1.0,0.0,0.3194444444444444,0.2142857142857143,0.6,0.5,0.6666666666666666,0.6363636363636364,75.0,0.6022727272727273,,,,,
377,juan martin del potro,R,198.0,,18.0,8.0,0.38929969427177974,0.2866739741739741,0.4302986000354421,0.5707917082917082,0.7191547060419609,0.7377379413492001,80.88888888888889,0.5965353640059929,,,,,
378,benjamin becker,R,178.0,,15.0,8.0,0.33222496834995674,0.17195073175053774,0.3025854700854701,0.5913492063492065,0.8711001476151563,0.5512991794159495,45.6,0.6813691574045275,,,,,
379,frank dancevic,R,185.0,,14.0,5.0,0.3408099595838464,0.17464934691825446,0.3758703481392557,0.5372549019607843,0.7700821995464854,0.6280144813498963,130.57142857142858,0.6366516669437016,,,,,
380,gilles simon,R,183.0,,48.0,24.0,0.38952751333398905,0.2561820192334899,0.40984588328338317,0.5086756624100776,0.6841375961320814,0.5493185198673346,78.375,0.5940783698254625,209.8,57.3%,41.8%,75.0%,35.7%
381,oliver marach,R,185.0,,25.0,10.0,0.37168652101662303,0.23539633569045335,0.39192640692640685,0.5718202123776225,0.7123945401004224,0.552223688171756,76.64,0.6053077073038693,,,,,
382,carlos berlocq,R,183.0,,19.0,4.0,0.3740811738471514,0.27151780967570444,0.4399982800137599,0.5364243943191312,0.5765474291790081,0.5885740293139966,130.42105263157896,0.5296658195978372,,,,,
383,marcos daniel,R,180.0,,21.0,5.0,0.34817248031022774,0.20016835016835016,0.4465230536659108,0.4353515010469898,0.6491679577814031,0.6499491081237164,79.0,0.5695652331873509,,,,,
384,boris pashanski,R,180.0,,32.0,10.0,0.3427299462595927,0.17283977001348325,0.3581506371487989,0.5870102051639879,0.6581129807692306,0.5732086360773665,81.625,0.5711492547409499,215.8,58.9%,35.4%,61.5%,60.0%
385,simon greul,R,185.0,,26.0,10.0,0.35128691521797306,0.1964402082331947,0.32488878642724794,0.5602439227439228,0.6942516570910237,0.5489508980812281,106.07692307692308,0.5822838343824434,,,,,
