,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
173,sandor noszaly,R,193.0,2.0,0.0,0.315,0.17045454545454547,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5922266139657444,12.5,0.5576416337285902,,,,,,,,,,,
174,johan van herck,R,185.0,1.0,0.0,0.22448979591836735,0.0,0.0,0.75,0.6666666666666666,0.5555555555555556,9.0,0.5694444444444444,,,,,,,,,,,
177,filip dewulf,R,190.0,8.0,4.0,0.38245658124353565,0.25550595238095236,0.4471491228070176,0.6228986291486291,0.6643849206349207,0.6260072487899109,54.75,0.5737508224112932,,,,,,,,,,,
181,mikael tillstrom,R,185.0,1.0,0.0,0.3333333333333333,0.125,0.3333333333333333,0.4444444444444444,0.2857142857142857,0.5517241379310345,48.0,0.4482758620689655,,,,,,,,,,,
183,mark knowles,R,190.0,5.0,2.0,0.38626819120418077,0.2993650793650794,0.580952380952381,0.5383838383838383,0.7479853479853481,0.5097071401504899,47.8,0.6151170777771763,,,,,,,,,,,
184,chris woodruff,R,188.0,2.0,0.0,0.3423076923076923,0.1746031746031746,0.375,0.6298701298701299,0.7815126050420168,0.5434877622377623,53.0,0.6242132867132868,,,,,,,,,,,
186,roberto carretero,R,178.0,1.0,0.0,0.41379310344827586,0.25,0.5,0.5454545454545454,0.5833333333333334,0.6805555555555556,42.0,0.5416666666666666,,,,,,,,,,,
190,juan albert viloca puig,R,185.0,1.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.2857142857142857,0.425,18.0,0.425,,,,,,,,,,,
196,sargis sargsian,R,180.0,1.0,0.0,0.2553191489361702,0.11111111111111116,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5833333333333334,28.0,0.55,,,,,,,,,,,
199,emilio benfele alvarez,R,183.0,4.0,0.0,0.22502169815999604,0.05555555555555555,0.0625,0.28409090909090906,0.5,0.6310519464970225,53.0,0.49506167978246407,,,,,,,,,,,
200,albert portas,R,188.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.5833333333333334,0.375,0.5492957746478874,86.0,0.4647887323943662,,,,,,,,,,,
209,dinu pescariu,R,185.0,2.0,1.0,0.32754098360655737,0.14646464646464646,0.2777777777777778,0.35,0.7545454545454545,0.4957627118644068,23.5,0.6640240568616731,,,,,,,,,,,
213,tomas nydahl,R,185.0,5.0,2.0,0.4172563957095827,0.32638694638694643,0.4538095238095238,0.5531601731601732,0.7806060606060606,0.6310667527198968,48.6,0.6207127051447539,,,,,,,,,,,
215,nicolas escude,R,185.0,1.0,0.0,0.2714285714285714,0.0,0.0,0.4166666666666667,0.3,0.5384615384615384,4.0,0.4153846153846154,,,,,,,,,,,
217,wayne black,R,170.0,1.0,0.0,0.3559322033898305,0.2222222222222222,0.4,0.5833333333333334,0.4444444444444444,0.5967741935483871,58.0,0.43548387096774194,,,,,,,,,,,
218,daniel nestor,L,190.0,6.0,1.0,0.31556511913076996,0.10525599128540307,0.22499999999999998,0.6507936507936508,0.8541530501089323,0.6135351264187531,35.5,0.6601992290013083,,,,,,,,,,,
231,leander paes,R,178.0,3.0,1.0,0.3694938642354921,0.1947751322751323,0.46581196581196577,0.42063492063492064,0.7375661375661376,0.6481568349902341,31.666666666666668,0.5976796530383831,,,,,,,,,,,
237,laurence tieleman,R,180.0,4.0,2.0,0.33536133108666866,0.17697368421052634,0.29816849816849816,0.6864583333333334,0.7663559941520468,0.5524531024531024,49.5,0.6216732052669552,,,,,,,,,,,
263,stephane huet,L,180.0,2.0,1.0,0.42842955961920415,0.2861111111111111,0.31875,0.25,0.5822368421052632,0.5453954848140328,40.5,0.5622868280006497,,,,,,,,,,,
291,german puentes,R,173.0,1.0,1.0,0.4074074074074074,0.30000000000000004,1.0,0.8888888888888888,0.9,0.6571428571428571,79.0,0.6428571428571429,,,,,,,,,,,
337,dick norman,L,203.0,1.0,0.0,0.26229508196721313,0.0,0.0,0.6,0.7777777777777778,0.5555555555555556,23.0,0.6111111111111112,,,,,,,,,,,
