,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang,atp_points
129,jonas bjorkman,R,183.0,59.0,34.0,0.41453375169441964,0.30138834630747324,0.4681538731015301,0.5620113643418728,0.7190998868420547,0.581630744985718,67.22033898305085,0.6011857363938262,210.8,0.585,0.467,0.5,0.556,24.0,1439.0
131,yevgeny kafelnikov,R,190.0,81.0,53.0,0.3925659422325664,0.27607688138877234,0.4660004243824906,0.5637154072741836,0.7886375164668935,0.5427113929580171,55.74074074074074,0.6389553965989013,233.2,0.614,0.41100000000000003,0.7140000000000001,0.593,11.0,2515.0
132,jared palmer,R,190.0,2.0,0.0,0.3254385964912281,0.1384615384615384,0.43333333333333335,0.24285714285714285,0.606060606060606,0.588479262672811,72.0,0.5930875576036867,,,,,,174.0,275.0
133,maurice ruah,R,178.0,1.0,1.0,0.40625,0.2857142857142857,0.36363636363636365,0.75,0.7857142857142857,0.5714285714285714,51.0,0.6263736263736264,,,,,,177.0,267.0
136,hendrik dreekmann,R,188.0,31.0,15.0,0.3729187002214246,0.24212188665224718,0.44434992321614714,0.5727921719857204,0.7573715608270686,0.5171502201908579,78.16129032258064,0.6195266523966995,207.0,0.6409999999999999,0.373,0.5,0.556,87.0,576.0
139,karim alami,R,185.0,39.0,19.0,0.3592616017716541,0.2399958592605651,0.319276221115686,0.5067927170868346,0.7180944340559727,0.5918483812933584,93.56410256410257,0.6023303982339279,215.9,0.573,0.387,0.643,0.556,72.0,676.0
140,albert costa,R,180.0,72.0,47.0,0.4225098478645224,0.3224768135129977,0.4400651431901431,0.554146740605074,0.788264553059122,0.7002596210026952,68.59722222222223,0.6326283335466832,241.5,0.615,0.42700000000000005,0.667,0.706,14.0,1823.0
141,mauricio hadad,R,170.0,1.0,0.0,0.36036036036036034,0.23529411764705888,0.6666666666666666,0.5454545454545454,0.7058823529411765,0.591304347826087,86.0,0.6,,,,,,272.0,139.0
142,jan apell,L,183.0,4.0,1.0,0.3298716542959964,0.14477941176470588,0.44507575757575757,0.4707264957264957,0.6962205171923841,0.5717242893039871,36.25,0.6026165655831727,,,,,,251.0,160.0
144,karol kucera,R,188.0,73.0,48.0,0.4252855888518922,0.35413068405017756,0.47735287923644076,0.5648559091548618,0.756586157198829,0.5566800060166371,55.23287671232877,0.6212414614628956,218.2,0.605,0.46799999999999997,0.5710000000000001,0.5379999999999999,8.0,2579.0
146,oliver gross,R,185.0,19.0,7.0,0.3791603995034051,0.2284075496679375,0.34863294600136707,0.4969948910738385,0.6709991712260315,0.5872168013657947,52.526315789473685,0.5816214327564903,,,,,,97.0,514.0
147,lionel roux,R,185.0,15.0,4.0,0.33383453969176785,0.15507750703402876,0.3876739926739926,0.6331031604561016,0.7078049543049543,0.555376821363862,71.73333333333333,0.6005816427644775,,,,,,255.0,158.0
148,vincent spadea,R,183.0,53.0,27.0,0.38306029224986565,0.24611336132891126,0.44162531707650665,0.5697149765779652,0.7155894499961035,0.6651610860295875,71.86792452830188,0.5986543159338982,210.4,0.575,0.4,0.55,0.579,42.0,935.0
151,christian ruud,R,188.0,9.0,0.0,0.3520382747526802,0.21170249503582836,0.3709876543209877,0.5949777890954362,0.657341115674449,0.5859353014738661,67.11111111111111,0.5620269285742767,,,,,,86.0,584.0
152,cristiano caratti,R,178.0,3.0,1.0,0.37892643155801053,0.15128205128205127,0.31666666666666665,0.46296296296296297,0.6790986790986792,0.650071802360959,57.333333333333336,0.5566508458074723,,,,,,159.0,293.0
153,radomir vasek,R,188.0,10.0,3.0,0.3476404946797171,0.19250816993464054,0.2799009324009324,0.3874680874680874,0.5651244588744588,0.5770722191261598,45.1,0.5467675478741219,,,,,,209.0,221.0
154,marcelo rios,L,175.0,79.0,62.0,0.4436027032470221,0.3581702917414319,0.4666563043145321,0.5383982615578219,0.8642651235084707,0.5883401956466557,72.44303797468355,0.6840167626292294,212.4,0.639,0.44299999999999995,0.41700000000000004,0.625,2.0,3670.0
155,lars rehmann,R,196.0,2.0,0.0,0.2873070325900514,0.05555555555555558,0.16666666666666666,0.2777777777777778,0.7,0.5316239316239316,35.0,0.5866910866910866,,,,,,303.0,118.0
156,sebastien lareau,R,183.0,29.0,12.0,0.3597171146171596,0.20202368336085197,0.3710310930899166,0.5957325241808,0.7389530224217004,0.669860652830162,63.241379310344826,0.6080429321843008,201.9,0.632,0.382,0.455,0.55,79.0,622.0
157,martin sinner,R,180.0,19.0,6.0,0.34789334857404336,0.17940709101699814,0.3083808004860636,0.5202237820658874,0.7036877467218026,0.5678136165708549,127.21052631578948,0.597491900125165,,,,,,129.0,366.0
158,michael tebbutt,L,190.0,20.0,9.0,0.3665591050163449,0.23163634272329925,0.36607142857142855,0.5481349206349206,0.712343308865048,0.5048223161308637,141.15,0.5929311637635025,,,,,,122.0,393.0
159,bohdan ulihrach,R,188.0,59.0,31.0,0.4064327524500899,0.2943531537990267,0.42485308947173345,0.5356809151300677,0.7282437906906607,0.5782700740271796,66.62711864406779,0.6015991607712816,200.6,0.604,0.425,0.42100000000000004,0.556,33.0,1077.0
162,sjeng schalken,R,193.0,50.0,22.0,0.3834791749542424,0.24705302236640975,0.4450269501740089,0.5355679875679875,0.7588736690488851,0.5977251295888428,95.64,0.6151777127676106,194.4,0.645,0.396,0.381,0.522,66.0,712.0
164,scott draper,L,178.0,35.0,19.0,0.35257334235054427,0.1902512663757688,0.4371254142682715,0.535300383556686,0.7702460298313903,0.5608774286777065,69.57142857142857,0.6266617862345211,237.4,0.607,0.41200000000000003,0.688,0.667,51.0,819.0
165,michael joyce,R,180.0,3.0,1.0,0.39872899167147574,0.21708683473389354,0.3194444444444444,0.4259259259259259,0.6447963800904978,0.548191566703017,61.333333333333336,0.6024173027989822,,,,,,252.0,160.0
166,adrian voinea,R,185.0,20.0,11.0,0.37874489819680146,0.2615506552271258,0.49497113997114006,0.5903860028860028,0.7346071657101068,0.5712399492409045,95.95,0.6234156130057876,,,,,,71.0,676.0
168,mark philippoussis,R,196.0,51.0,32.0,0.358206711244345,0.20970317320025936,0.3839541571601147,0.5754560798678446,0.8462631192651529,0.5905078858855377,57.8235294117647,0.6706672263192995,188.9,0.615,0.35700000000000004,0.375,0.542,15.0,1792.0
169,hernan gumy,R,188.0,15.0,6.0,0.3990151563807688,0.2630197044670729,0.35800044984255514,0.5871249413354677,0.6827709522446366,0.613727247268386,51.266666666666666,0.5636447584740981,,,,,,109.0,442.0
170,jiri novak,R,190.0,38.0,19.0,0.40496687114647334,0.27909804835114427,0.37734319005094624,0.539398958997297,0.7445474717920538,0.6444578213141622,103.92105263157895,0.6173592261474239,184.7,0.5720000000000001,0.396,0.579,0.3,75.0,669.0
171,nuno marques,L,190.0,1.0,0.0,0.32653061224489793,0.0,0.0,0.6,0.42857142857142855,0.5636363636363636,67.0,0.4909090909090909,,,,,,226.0,196.0
