,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
185,thomas johansson,R,180.0,46.0,25.0,0.3714134948109379,0.23104827576029963,0.375689785136716,0.5166235334713595,0.811716732344033,0.5247520688587857,50.93478260869565,0.647945512430135,14.0,199.3,0.612,0.381,0.5,0.5
187,hicham arazi,L,175.0,33.0,12.0,0.36957780042977034,0.21877104377104378,0.3155707928435201,0.5347151165332983,0.6970487845487846,0.5789283766167981,88.15151515151516,0.5905098781924454,90.0,187.7,0.5760000000000001,0.355,0.375,0.5710000000000001
189,galo blanco,R,173.0,23.0,6.0,0.3528534250667935,0.19075875815006246,0.31148127235083756,0.5343434343434343,0.6875459081980821,0.529925872081327,54.73913043478261,0.5825845104726883,56.0,,,,,
191,dominik hrbaty,R,183.0,48.0,21.0,0.3838866835048895,0.2659645068916379,0.40074407043979404,0.5302973935786436,0.7237993771896806,0.576738964585714,73.10416666666667,0.6039564486853949,51.0,185.8,0.585,0.42700000000000005,0.5329999999999999,0.313
193,gustavo kuerten,R,190.0,38.0,24.0,0.36599527852220054,0.23325891313036284,0.4507745909061699,0.5454175210754159,0.8441705125573464,0.5606973566159295,72.15789473684211,0.6656274874992306,37.0,201.5,0.615,0.433,0.467,0.5
194,magnus norman,R,188.0,26.0,8.0,0.34642043444411735,0.21280972232895312,0.4122440468028703,0.5530407626561472,0.6990823812939199,0.6060399137964159,53.65384615384615,0.5996072376541471,48.0,188.5,0.603,0.42700000000000005,0.4,0.455
196,sargis sargsian,R,180.0,32.0,14.0,0.3480564105903593,0.18889424800560634,0.3687984758297258,0.46796172577422573,0.7361961659663866,0.571600964072814,68.375,0.6058932237304337,70.0,205.9,0.531,0.389,0.556,0.583
198,mariano zabaleta,R,183.0,50.0,22.0,0.365722585232908,0.21689958487791308,0.4156102580769763,0.5283299755799756,0.7312580505436543,0.5870188607210489,68.26,0.6120492804909411,53.0,187.8,0.565,0.374,0.389,0.55
200,albert portas,R,188.0,32.0,10.0,0.32788248870078135,0.16777991288682076,0.32832792207792205,0.5812691750651309,0.7099670546011007,0.5677773144945177,93.53125,0.5895477948501239,88.0,163.2,0.622,0.377,0.33299999999999996,0.3
201,franco squillari,L,183.0,34.0,14.0,0.3990644258412727,0.2817966347378112,0.3937936678853634,0.4538629670982612,0.7179291560995713,0.5822078122357625,74.91176470588235,0.594717322680764,79.0,156.8,0.54,0.42,0.308,0.3
202,tommy haas,R,188.0,64.0,43.0,0.37260159619792366,0.2476008523401973,0.40215422088124286,0.5737340350621599,0.8041814006442962,0.5594051107371201,67.5625,0.6489390617027122,11.0,235.6,0.617,0.408,0.731,0.6
203,nicolas kiefer,R,183.0,45.0,19.0,0.37344845232643736,0.2504557047890381,0.49059903059903054,0.5527438102928298,0.7190980624313957,0.5237786050134834,73.46666666666667,0.6088124641128388,72.0,191.5,0.5760000000000001,0.426,0.556,0.35700000000000004
